1,              ARM TRACER (HOU),1,50
2,               ARM CACTI (COR),51,101
3,              ARM COMBLE (ANX),102,142
4,       ARM Southeast US (SEUS),143,184
5,    ARM East N. Atlantic (ENA),185,234
6,              ARM Alaska (NSA),235,275
7,            ARM Nauru (TWPNAU),276,311
8,            ARM Manus (TWPMAN),312,353
9,           ARM Darwin (TWPDAR),354,399
10,              ARM MAGIC (MAG1),400,446
11,              ARM MAGIC (MAG2),447,502
12,              ARM MAGIC (MAG3),503,551
13,              ARM MAGIC (MAG4),552,597
